_openid,title,bookurl 
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java虚拟机规范（Java SE 8版） : Java虚拟机规范,https://book.douban.com/subject/26418340/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java程序员修炼之道,https://book.douban.com/subject/24841235/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,深入浅出Java : 第2版影印本,https://book.douban.com/subject/1504092/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java并发编程 : 设计原则与模式,https://book.douban.com/subject/1244021/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java网络编程,https://book.douban.com/subject/26259017/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java编程思想 : 英文版·第4版,https://book.douban.com/subject/2061172/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,JAVA核心技术卷2 : 高级特性,https://book.douban.com/subject/3360866/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java解惑,https://book.douban.com/subject/5362860/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java编程思想(第2版),https://book.douban.com/subject/1101158/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java与模式,https://book.douban.com/subject/1214074/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Effective Java : 3rd Edition,https://book.douban.com/subject/27047716/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java从入门到精通,https://book.douban.com/subject/3181249/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,数据结构与算法经典问题解析 : Java语言描述,https://book.douban.com/subject/26834485/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java面向对象编程,https://book.douban.com/subject/1837608/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java Web高级编程 : 涵盖WebSockets、Spring Framework、JPA Hibernate和Spring Security,https://book.douban.com/subject/26581686/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,A Little Java, A Few Patterns,https://book.douban.com/subject/2709130/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java Web整合开发王者归来,https://book.douban.com/subject/4189495/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java Nio,https://book.douban.com/subject/1433583/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java 8函数式编程,https://book.douban.com/subject/26346017/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java程序员，上班那点事儿,https://book.douban.com/subject/3845030/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,写给大忙人看的Java SE 8,https://book.douban.com/subject/26274206/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java数据结构和算法,https://book.douban.com/subject/1144007/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java多线程编程实战指南（设计模式篇）,https://book.douban.com/subject/26642317/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,图解Java多线程设计模式,https://book.douban.com/subject/27116724/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Tomcat与Java Web开发技术详解（第2版）,https://book.douban.com/subject/3351927/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,测试驱动开发的艺术,https://book.douban.com/subject/5326182/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Head First Java,https://book.douban.com/subject/4496038/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,疯狂Java讲义 : 第3版,https://book.douban.com/subject/25959184/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java从入门到精通,https://book.douban.com/subject/11534743/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java开发实战经典,https://book.douban.com/subject/3879823/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java学习笔记,https://book.douban.com/subject/26371167/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java多线程编程实战指南（核心篇）,https://book.douban.com/subject/27034721/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,写给大忙人看的Java核心技术,https://book.douban.com/subject/26710388/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Core Java,https://book.douban.com/subject/1441161/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Head First Java (2nd Edition),https://book.douban.com/subject/2607402/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java Performance : The Definitive Guide,https://book.douban.com/subject/25872755/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java 8 in Action : Lambdas, Streams, and functional-style programming,https://book.douban.com/subject/25912747/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,揭秘Java虚拟机 : JVM设计原理与实现,https://book.douban.com/subject/27086821/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java in a Nutshell, 6th Edition : A Desktop Quick Reference,https://book.douban.com/subject/26264641/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Core Java, Volume I (10th Edition) : Fundamentals,https://book.douban.com/subject/26386888/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java从入门到精通(第4版）,https://book.douban.com/subject/26900033/
